calc_pattern,error_type,cluster_id,n,silhouette,top_terms
#%-#%,other,-1,1,,[]
#*#,other,-1,2,,[]
#+#,extremum_candidate,-1,1,,[]
#+#,other,-1,9,,[]
#+#+#,other,-1,4,,[]
#+#+#+#,other,-1,1,,[]
#+(#)+#,other,-1,1,,[]
#+(-#)+#,other,-1,1,,[]
#-#,avg_window_candidate,-1,1,,[]
#-#,extremum_candidate,-1,4,,[]
#-#,pct_vs_pp_candidate,-1,2,,[]
#-#,tfidf_cluster,0,8,0.14410884455485934,"['creas', 'reas', 'rea', 'crea', 'rease', 'cre', 'eas', 'ease']"
#-#,tfidf_cluster,1,9,0.14410884455485934,"['ent', ' 201', '201', ' 20', 'and ', ' and', ' and ', ' an']"
#-#,tfidf_cluster,2,2,0.14410884455485934,"['pril', ' apri', 'apr', 'apri', 'april', 'pril ', 'ded', 'ded ']"
#-#,tfidf_cluster,3,4,0.14410884455485934,"['otal', 'total', 'ota', 'otal ', ' tota', ' tot', 'tal', 'tal ']"
#-#,tfidf_cluster,4,5,0.14410884455485934,"['los', 'ing ', 'ing', 'rati', 'rat', 'ng ', 'chang', 'nge']"
#-#,tfidf_cluster,5,7,0.14410884455485934,"['nd ', 'renc', 'enc', 'ren', '202', ' 202', 'ence', 'iffer']"
#-(-#),extremum_candidate,-1,1,,[]
#-(-#),other,-1,1,,[]
#/#,tfidf_cluster,0,5,0.20613912717268992,"[' pro', ' pr', 'pro', 'rop', 'prop', ' prop', ' of ', 'of ']"
#/#,tfidf_cluster,1,4,0.20613912717268992,"[' co', 'on ', ' con', 'con', 'tion', 'ion', 'tion ', 'ion ']"
#/#,tfidf_cluster,2,3,0.20613912717268992,"['ste', 'ested', 'sted', 'sted ', 'este', 'veste', 'vest', 'ves']"
#/#,tfidf_cluster,3,2,0.20613912717268992,"['nge', 'ange ', 'hang', 'hange', 'chang', 'chan', 'cha', 'nge ']"
#/#,tfidf_cluster,4,5,0.20613912717268992,"[' rati', 'atio ', 'io ', 'tio ', 'ratio', 'rati', ' ra', ' rat']"
#/#,tfidf_cluster,5,3,0.20613912717268992,"['ent', 'men', 'ment', 'ment ', 'ent ', 'nt ', ' to', 'ore']"
#/#-#,extremum_candidate,-1,1,,[]
#/#-#,other,-1,1,,[]
(#%+#%)/#,other,-1,4,,[]
(#*#)+(#*#),other,-1,1,,[]
(#+#)/#,avg_window_candidate,-1,3,,[]
(#+#)/#,tfidf_cluster,0,6,0.22436298548592923,"[' in', '201', ' 20', ' 201', 'ge ', 'age ', 'age', 'voya']"
(#+#)/#,tfidf_cluster,1,4,0.22436298548592923,"['ber ', 'ber', 'mber', 'mber ', 'mbe', 'ted ', 'ted', 'est']"
(#+#)/#,tfidf_cluster,2,7,0.22436298548592923,"['for ', ' for ', 'for', 'or ', ' for', ' fo', ' 20', '201']"
(#+#)/#,tfidf_cluster,3,3,0.22436298548592923,"['pro', 'rop', 'prop', ' prop', ' pro', ' pr', 'men', 'ment']"
(#+#)/#,tfidf_cluster,4,2,0.22436298548592923,"['free ', ' ca', ' cash', 'ash', 'ash ', 'flo', 'flow', 'flow?']"
(#+#)/#,tfidf_cluster,5,3,0.22436298548592923,"['efi', '019 ', '19 ', '2019 ', 'emes', 'che', 'mes?', 'mes']"
(#+#+#)/#,avg_window_candidate,-1,2,,[]
(#+#+#)/#,other,-1,12,,[]
(#+#+#+#+#+#+#)/#,other,-1,1,,[]
(#-#)/#,other,-1,7,,[]
(#-#)/#,pct_vs_pp_candidate,-1,37,,[]
(#/#)-(#/#),other,-1,1,,[]
((#-#)+(#-#))/#,other,-1,1,,[]
(-#)-(-#),other,-1,1,,[]
(-#-#)/#,pct_vs_pp_candidate,-1,1,,[]
(-#-(-#))/-#,pct_vs_pp_candidate,-1,1,,[]
-#-#,other,-1,3,,[]
-#/-#-#,other,-1,1,,[]
-(#+#)/#,other,-1,2,,[]
-(#+#+#)/#,other,-1,2,,[]
[(#+#)/#]-[(#+#)/#],other,-1,3,,[]
[(#+#)/#]-[(-#)+(-#)]/#,other,-1,1,,[]
[(-#)+(-#)]/#,other,-1,1,,[]
